communes,maison_nb_trans,maison_prix_total,maison_superficie_totale,maison_prix_moyen,villa_nb_trans,villa_prix_total,villa_superficie_totale,villa_prix_moyen,appart_nb_trans,appart_prix_total,appart_superficie_totale,appart_prix_moyen
arlon,144,35973498,83832,249816,40,13107200,43140,327680,189,35120460,,185823
attert,28,7738712,16468,276383,11,4256500,14586,386955,1,,,
aubange,134,22766590,69874,169900,19,5777000,17618,304053,75,11505396,,153405
martelange,20,2736000,10624.5,136800,4,,,,,,,
messancy,50,10683000,31120,213660,19,6060500,19459,318974,17,2299000,,135235
bastogne,80,14244613,56619,178058,29,7814000,32930,269448,24,4982987,,207624
bertogne,9,,,,13,2958000,31765,227538,,,,
fauvillers,15,2184000,21527,145600,7,,,,,,,
houffalize,35,5274242,34007,150693,24,5629150,42103,234548,2,,,
vielsalm,52,7170763,47987,137899,12,3378500,19176,281542,5,,,
vaux-sur-sure,23,4707397,33351,204669,9,,,,1,,,
gouvy,40,5650306,32139,141258,16,3056411,19127,191026,,,,
sainte-ode,8,,,,8,,,,,,,
durbuy,81,16271366,88663,200881,61,13216889,103725,216670,14,2240000,,160000
erezee,21,4032996,20332,192047,14,2868200,19164,204871,,,,
hotton,29,4074000,23226,140483,15,2870000,20805,191333,3,,,
la roche-en-ardenne,45,6888099,33822,153069,12,2670500,16079,222542,4,,,
marche-en-famenne,86,12793384,92232,148760,38,7434500,40378,195645,24,3864900,,161038
nassogne,39,7867435,27171,201729,9,,,,7,,,
rendeux,13,2809952,10857,216150,16,3396500,19794,212281,,,,
tenneville,8,,,,8,,,,4,,,
manhay,15,2895718,14742,193048,16,2914095,27977,182131,,,,
bertrix,39,5066700,32069,129915,18,3582333,27555,199018,16,1990802,,124425
bouillon,40,4794300,46734,119858,15,2964000,22254,197600,7,,,
daverdisse,10,1466000,16490,146600,3,,,,,,,
herbeumont,8,,,,3,,,,,,,
leglise,27,4749050,46770,175891,6,,,,,,,
libin,25,3526400,34307,141056,18,3881000,23416,215611,1,,,
neufchateau,41,5505700,47454,134285,13,2955000,17117,227308,16,2758655,,172416
paliseul,28,3625000,20263,129464,14,3034000,47291,216714,7,,,
saint-hubert,40,4512313,18794,112808,12,2539500,30761,211625,1,,,
tellin,13,1887000,19390,145154,2,,,,,,,
wellin,12,1853000,11040,154417,6,,,,2,,,
libramont-chevigny,36,5799154,43588,161088,37,8904195,58878,240654,36,5769621,,160267
chiny,35,5033499,16397,143814,10,1853000,13043,185300,,,,
etalle,19,3531500,12217,185868,8,,,,,,,
florenville,48,5873501,30039,122365,17,3250500,17812,191206,8,,,
meix-devant-virton,24,3407500,16470,141979,4,,,,1,,,
musson,37,5976500,23090,161527,5,,,,4,,,
saint-leger,26,4190050,12817,161156,5,,,,2,,,
tintigny,22,3398600,22456,154482,8,,,,1,,,
virton,97,13115198,47110,135208,14,3241000,13847,231500,15,3605000,,240333
habay,45,7505400,24399,166787,18,4405849,21764,244769,4,,,
rouvroy,14,1769546,5675,126396,5,,,,1,,,
