commune,prix,monthly_rent_price
Metz,1693€,1693
Thionville,1736€,1736
MontignylèsMetz,1765€,1765
Sarreguemines,1092€,1092
Forbach,903€,903
SaintAvold,1076€,1076
Yutz,1783€,1783
Hayange,1082€,1082
Creutzwald,1128€,1128
FreymingMerlebach,945€,945
Fameck,1644€,1644
Woippy,1755€,1755
StiringWendel,954€,954
Sarrebourg,1024€,1024
Florange,1564€,1564
MaizièreslèsMetz,1565€,1565
Amnéville,1848€,1848
Rombas,1364€,1364
Marly,2089€,2089
Hagondange,1553€,1553
Strasbourg,2666€,2666
Haguenau,2034€,2034
Schiltigheim,2050€,2050
IllkirchGraffenstaden,2387€,2387
Sélestat,1664€,1664
Bischheim,2076€,2076
Lingolsheim,2068€,2068
Bischwiller,1729€,1729
Saverne,1554€,1554
Ostwald,2380€,2380
Hœnheim,1692€,1692
Obernai,2482€,2482
Erstein,1889€,1889
Brumath,2551€,2551
Molsheim,2164€,2164
Wissembourg,1680€,1680
Souffelweyersheim,2564€,2564
Geispolsheim,2359€,2359
Barr,1881€,1881
Eckbolsheim,2157€,2157
Nancy,1934€,1934
VandœuvrelèsNancy,1489€,1489
Lunéville,930€,930
Toul,1058€,1058
PontàMousson,1129€,1129
Laxou,1921€,1921
VillerslèsNancy,1931€,1931
Longwy,1377€,1377
DombaslesurMeurthe,1133€,1133
SaintMax,1486€,1486
Maxéville,1276€,1276
JarvillelaMalgrange,1289€,1289
Villerupt,1199€,1199
EsseylèsNancy,1590€,1590
Jarny,963€,963
Malzéville,1371€,1371
MontSaintMartin,1246€,1246
SaintNicolasdePort,1165€,1165
Tomblaine,1556€,1556
NeuvesMaisons,1171€,1171
Verdun,1098€,1098
BarleDuc,958€,958
Commercy,819€,819
SaintMihiel,498€,498
LignyenBarrois,591€,591
Étain,1287€,1287
BellevillesurMeuse,1029€,1029
RevignysurOrnain,,
ThiervillesurMeuse,1091€,1091
Stenay,,
Ancerville,938€,938
Bouligny,757€,757
Montmédy,,
FainsVéel,,
Vaucouleurs,497€,497
Euville,775€,775
CousanceslesForges,,
VoidVacon,500€,500
ClermontenArgonne,,
VigneulleslèsHattonchâtel,,
CharlevilleMézières,1010€,1010
Sedan,722€,722
Rethel,1355€,1355
Revin,529€,529
Givet,790€,790
Nouzonville,983€,983
BognysurMeuse,992€,992
Vouziers,,
Fumay,,
VillersSemeuse,,
VrigneauxBois,,
VivierauCourt,,
Carignan,,
Floing,,
Monthermé,,
Rocroi,,
Donchery,802€,802
NouvionsurMeuse,,
Mouzon,,
Haybes,,
Épinal,1032€,1032
SaintDiédesVosges,848€,848
Gérardmer,1858€,1858
Golbey,1234€,1234
ThaonlesVosges,939€,939
Remiremont,968€,968
Neufchâteau,739€,739
Raonl'Étape,792€,792
Mirecourt,728€,728
Rambervillers,631€,631
Vittel,987€,987
Charmes,791€,791
La Bresse,1737€,1737
SaintNabord,952€,952
Vagney,1073€,1073
Le Vald'Ajol,944€,944
SaintÉtiennelèsRemiremont,966€,966
Le Thillot,921€,921
Cornimont,1190€,1190
RuptsurMoselle,1482€,1482
Reims,2024€,2024
ChâlonsenChampagne,1174€,1174
Épernay,1469€,1469
VitryleFrançois,1041€,1041
Tinqueux,2081€,2081
Bétheny,1578€,1578
Cormontreuil,2396€,2396
SaintMemmie,1178€,1178
Fismes,1057€,1057
Sézanne,1157€,1157
MourmelonleGrand,,
WitrylèsReims,1999€,1999
SainteMenehould,799€,799
Fagnières,1166€,1166
Ay,1470€,1470
Suippes,1223€,1223
Montmirail,,
SaintBriceCourcelles,1940€,1940
Dormans,2519€,2519
Courtisols,,
