commune,mean_rent
Commune de Mersch,1190
Commune de Bourscheid,1207
Commune d' Ermsdorf,
Commune de Bettendorf,1064
Commune de Feulen,1251
Commune de Nommern,
Commune de Bissen,935
Commune de Fischbach,1210
Commune de Boevange-sur-Attert,1098
Commune de Tuntange,1273
Commune d' Erpeldange,1268
Commune de Medernach,
Commune de Larochette,1413
Commune de Lintgen,1163
Commune d' Ettelbruck,1097
Commune de Reisdorf,
Commune de Heffingen,1027
Commune de Diekirch,1026
Commune de Colmar-Berg,1021
Commune de Mertzig,1218
Commune de Schieren,1292
Commune de Luxembourg,1657
Commune de Niederanven,1492
Commune de Kehlen,1466
Commune de Mamer,1650
Commune de Hesperange,1654
Commune de Roeser,1337
Commune de Steinsel,1254
Commune de Garnich,
Commune de Contern,1304
Commune de Reckange-sur-Mess,1396
Commune de Koerich,1225
Commune de Frisange,1214
Commune de Hobscheid,1180
Commune de Lorentzweiler,1477
Commune de Dippach,1099
Commune de Bertrange,1515
Commune de Weiler-la-Tour,1073
Commune de Schuttrange,1264
Commune de Septfontaines,
Commune de Leudelange,1417
Commune de Steinfort,1144
Commune de Strassen,1511
Commune de Kopstal,1785
Commune de Sandweiler,1306
Commune de Walferdange,1386
Commune de Junglinster,1129
Commune de Flaxweiler,1400
Commune de Manternach,1300
Commune de Mompach,
Commune de Betzdorf,1311
Commune de Consdorf,844
Commune de Bech,
Commune de Waldbillig,1015
Commune de Biwer,1259
Commune de Berdorf,855
Commune de Echternach,1130
Commune de Rosport,
Commune de Lenningen,1150
Commune de Dalheim,1236
Commune de Wormeldange,1118
Commune de Grevenmacher,1060
Commune de Bous,
Commune de Mertert,1013
Commune de Beaufort,808
Commune de Mondorf-les-Bains,1114
Commune de Burmerange,
Commune de Waldbredimus,996
Commune de Remerschen,
Commune de Stadtbredimus,1125
Commune de Wellenstein,
Commune de Remich,1074
Commune de Wincrange,870
Commune de Hosingen,
Commune de Weiswampach,1065
Commune de Heinerscheid,
Commune de Putscheid,
Commune de Munshausen,
Commune de Clervaux,
Commune de Bastendorf,
Commune de Wilwerwiltz,
Commune de Fouhren,
Commune de Consthum,
Commune de Hoscheid,
Commune de Vianden,614
Commune de Troisvierges,831
Commune de Rambrouch,1058
Commune du Lac de la Haute-SÃ»re,
Commune de Heiderscheid,
Commune de Boulaide,
Commune de Redange-sur-Attert,1203
Commune de Winseler,983
Commune de Goesdorf,896
Commune de Beckerich,990
Commune de Useldange,1232
Commune d' Ell,1202
Commune de Grosbous,1010
Commune d' Eschweiler,
Commune de Wahl,
Commune de Wiltz,
Commune de PrÃ©izerdaul,972
Commune de Saeul,958
Commune de Kautenbach,
Commune de Vichten,1042
Commune de Neunhausen,
Commune d' Esch-sur-SÃ»re,
Commune de Sanem,1190
Commune de Differdange,1026
Commune de Bettembourg,1265
Commune de Mondercange,1323
Commune de Dudelange,1079
Commune de Bascharage,
Commune de Kayl,1085
Commune de Clemency,
Commune d' Esch-sur-Alzette,1058
Commune de PÃ©tange,1082
Commune de Schifflange,1051
Commune de Rumelange,831
Commune,
Commune de Tandel,
Commune de Kiischpelt,1125
Commune de Clervaux,1006
Commune du Parc Hosingen,920
Commune d' Esch-sur-SÃ»re,975
Commune de la VallÃ©e de l'Ernz,1058
Commune de Kaerjeng,1209
Commune de Schengen,1162
Commune de Wiltz,887
Commune,
Commune,
